,Code,SpeciesCode,Type,Status,LifeForm,Volunteer
1,L,L,Ground,NA,NA,NA
2,BRANIG,BRANIG,Plant,Alive,NA,NA
3,ENCCAL,ENCCAL,Plant,Alive,NA,NA
4,BROMAD,BROMAD,Plant,Alive,NA,NA
5,FESMYU,FESMYU,Plant,Alive,NA,NA
6,B,B,Ground,NA,NA,NA
7,BROHOR,BROHOR,Plant,Alive,NA,NA
8,EROCIC,EROCIC,Plant,Alive,NA,NA
9,D(ENCCAL),ENCCAL,Plant,Dead,NA,NA
10,AVEFAT,AVEFAT,Plant,Alive,NA,NA
11,EROMOS,EROMOS,Plant,Alive,NA,NA
12,ANAARV,ANAARV,Plant,Alive,NA,NA
13,ERIFAS,ERIFAS,Plant,Alive,NA,NA
14,SONASP,SONASP,Plant,Alive,NA,NA
15,ARTCAL,ARTCAL,Plant,Alive,NA,NA
16,TH,T,Ground,NA,NA,NA
17,DPL(ARTCAL),ARTCAL,Plant,Dead,NA,NA
18,FESPER,FESPER,Plant,Alive,NA,NA
19,HORMUR,HORMUR,Plant,Alive,NA,NA
20,R,R,Ground,NA,NA,NA
21,CENMEL,CENMEL,Plant,Alive,NA,NA
22,PICECH,PICECH,Plant,Alive,NA,NA
23,UNK BABY 1,UNK,Plant,Alive,,
24,UNK HOPPY,UNK,Plant,Alive,,
25,UNK 02 STICKY,UNK,Plant,Alive,,
26,UNK 02,UNK,Plant,Alive,,
27,PHAAGU,PHAAQU,Plant,Alive,NA,NA
28,UNK 03,UNK,Plant,Alive,,
29,SALMEL,SALMEL,Plant,Alive,NA,NA
30,DEIFAS,DEIFAS,Plant,Alive,NA,NA
31,SOLAM? SPP.,UNK,Plant,Alive,Forb,NA
32,UNK 04,UNK,Plant,Alive,,
33,PHAAQU,PHAAQU,Plant,Alive,NA,NA
34,PSESTR,PSESTR,Plant,Alive,NA,NA
35,UNK STICKY 3,UNK,Plant,Alive,,
36,SILGAL,SILGAL,Plant,Alive,NA,NA
37,SALTRA,SALTRA,Plant,Alive,NA,NA
38,CHEMUR,CHEMUR,Plant,Alive,NA,NA
39,D(ARTCAL),ARTCAL,Plant,Dead,NA,NA
40,MEDPOL,MEDPOL,Plant,Alive,NA,NA
41,STICKY UNK,UNK,Plant,Alive,,
42,UNK PURPLE,UNK,Plant,Alive,,
43,UNK 01,UNK,Plant,Alive,,
44,S,S,Ground,NA,NA,NA
45,D(ERIFAS),ERIFAS,Plant,Dead,NA,NA
46,NICGLA,NICGLA,Plant,Alive,NA,NA
47,DAUSPP,DAUSPP,Plant,Alive,Forb,NA
48,FLUFFY GRASS,UNK,Plant,Alive,Grass,NA
49,LUPSPP,LUPSPP,Plant,Alive,NA,NA
50,SONOLE,SONOLE,Plant,Alive,NA,NA
51,UNK 06,UNK,Plant,Alive,,
52,AMSMEN,AMSMEN,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,DPL(ENCCAL),ENCCAL,Plant,Dead,NA,NA
55,PHADIS,PHADIS,Plant,Alive,NA,NA
56,DPL(SALMEL),SALMEL,Plant,Dead,NA,NA
57,UNK 05,UNK,Plant,Alive,NA,NA
58,RICCOM,RICCOM,Plant,Alive,NA,NA
59,D(UNK SPRAWLING BULB),UNK,Plant,Alive,NA,NA
60,PHACELIA SPP,PHACSPP,Plant,Alive,Forb,NA
61,UNK PURPLE UNDER COTYLEDON,UNK,Plant,Alive,NA,NA
62,UNK PURPLE COTYL,UNK,Plant,Alive,NA,NA
63,PSECAL,PSECAL,Plant,Alive,NA,NA
64,URTDIO,URTDIO,Plant,Alive,NA,NA
65,ASCLEP SPP,ASCSPP,Plant,Alive,Forb,NA
66,PHACELIA CILIATA,PHACIL,Plant,Alive,NA,NA
67,UNK SM FUZZ CRUMPLY,UNK,Plant,Alive,NA,NA
68,GALAPA,GALAPA,Plant,Alive,NA,NA
69,UNK 01 PURPLE UNDERSIDE,UNK,Plant,Alive,NA,NA
70,BROSPC,BROSPP,Plant,Alive,NA,NA
71,STIPUL,STIPUL,Plant,Alive,NA,NA
72,FESMUE,FESMYE,Plant,Alive,NA,NA
73,STEDIE,STEDIE,Plant,Alive,NA,NA
74,V(ARTCAL),ARTCAL,Plant,Alive,NA,Volunteer
75,V(ENCCAL),ENCCAL,Plant,Alive,NA,Volunteer
76,ARTICAL,ARTCAL,Plant,Alive,NA,NA
77,PIRECH,PICECH,Plant,Alive,NA,NA
78,CALCIL,CALCIL,Plant,Alive,NA,NA
79,UNK(FORB),UNK,Plant,Alive,Forb,NA
80,DPL(STIPUL),STIPUL,Plant,Dead,NA,NA
81,EROSPP,EROSPP,Plant,Alive,NA,NA
82,PICCEH,PICECH,Plant,Alive,NA,NA
83,URTURE,URTURE,Plant,Alive,NA,NA
84,AVESPP,AVESPP,Plant,Alive,NA,NA
85,EROFAS,ERIFAS,Plant,Alive,NA,NA
86,BROSPP,BROSPP,Plant,Alive,NA,NA
87,EROSMOS,EROMOS,Plant,Alive,NA,NA
88,CONBON,CONBON,Plant,Alive,NA,NA
89,BROHUR,BROHOR,Plant,Alive,NA,NA
90,UNK GRASS,UNK,Plant,Alive,Grass,NA
91,POLAVI,POLAVI,Plant,Alive,NA,NA
92,PHAMIN,PHAMIN,Plant,Alive,NA,NA
93,V(ERIFAS),ERIFAS,Plant,Alive,NA,Volunteer
94,PHACIL,PHACIL,Plant,Alive,NA,NA
95,AVEBAR,AVEBAR,Plant,Alive,NA,NA
96,SILMAR,SILMAR,Plant,Alive,NA,NA
97,UNK grass,UNK,Plant,Alive,Grass,NA
98,D(BRANIG),BRANIG,Plant,Dead,NA,NA
99,NA,NA,NA,NA,NA,NA
100,W,W,Ground,NA,NA,NA
101,D(EROSPP),EROSPP,Plant,Dead,NA,NA
102,CENMEN,CENMEL,Plant,Alive,NA,NA
103,D(UNK grass),UNK,Plant,Dead,Grass,NA
104,BACPIL,BACPIL,Plant,Alive,NA,NA
105,F,F,Ground,NA,NA,NA
106,UNKgrass1,UNK,Plant,Alive,Grass,NA
107,UNKgrass2,UNK,Plant,Alive,Grass,NA
108,Unk,UNK,Plant,Alive,NA,NA
109,SILENESPP,SILSPP,Plant,Alive,NA,NA
110,EROSB,EROSPP,Plant,Alive,NA,NA
111,T,T,Ground,NA,NA,NA